id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
17,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,902123.09,902155.111,32.021000000066124,902.19,209.61,214.53,16.38499999999999,4.9199999999999875,13.461525325512198,4.987372241046077,27.404811192410005,26.491363466600284,918.575,15.564348069866314,30.5675233065949,17.107735823305184
18,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,902559.218,902631.232,72.01399999996647,926.46,221.26,230.24,43.83999999999992,8.980000000000018,17.76832013576938,4.1097085642252615,73.37903442013125,9.599766152017,970.3,19.162095898962995,73.5014878114766,44.750262569062016
19,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,903451.091,903475.08,23.98899999994319,973.24,215.735,220.125,35.174999999999955,4.389999999999986,51.40370855618783,6.316997630297036,169.01965877137516,17.869484951880178,1008.415,52.970030447753054,169.04390613634376,35.44788745468475
20,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,903731.07,903755.062,23.99200000008568,1021.3,225.25,217.445,31.38499999999999,7.805000000000007,44.13860683156321,8.788394518003132,117.16256332939305,15.002664820636774,1052.685,46.403709568650015,117.55557816493301,32.34093767966537
21,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,904131.055,904159.053,27.997999999905005,1040.6799999999998,211.905,215.02,41.73000000000002,3.115000000000009,39.209932678587585,4.627775585343067,89.74079201664404,11.0189384377729,1082.4099999999999,40.79850708302414,89.828959873229,41.846100475432614
22,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,904499.109,904539.106,39.99699999997392,1069.92,216.51,224.93,28.565000000000055,8.420000000000016,18.78819622055348,5.893251443837412,57.81030134307946,10.720226528921371,1041.355,20.24708441612992,58.29024491149086,29.780121305998797
23,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,905034.951,905118.939,83.98800000001211,1026.92,225.59,228.715,63.819999999999936,3.125,663.3742936684305,142.31606966957293,7173.60729089296,1502.2405169085162,1090.74,678.4962074325736,7325.428789558572,63.89646332153284
24,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,905878.975,905890.967,11.991999999969266,1057.205,214.09,217.22,0.08500000000003638,3.1299999999999955,1.765862051774289,11.078320535243932,2.9281516865688104,15.170962362019974,1057.29,11.330135573163519,15.171283594311676,3.131153940642328
25,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,906650.878,906674.882,24.00399999995716,1106.0349999999999,208.2,207.37,73.38000000000011,0.8299999999999841,84.66011852070187,6.181335725415821,196.21960643580664,9.766586745673711,1179.415,85.50825998202458,196.31697265136228,73.3846939081987
26,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,906894.857,906926.86,32.00300000002608,1184.9650000000001,222.28500000000003,221.04000000000002,16.480000000000018,1.2450000000000045,16.243027268730216,4.508836741089487,37.25771980756801,8.1881484837466,1168.4850000000001,17.796933936309564,37.275492735217114,16.52696054935694
